block,time
2,23.999
3,30.004
4,17.996
5,24.001
6,24.002
7,23.998
8,47.997
9,24.01
10,23.994
11,23.997
12,30.006
13,17.995
14,24.002
15,23.997
16,24
17,30.006
18,17.996
19,23.998
20,24.023
21,23.977
22,48.002
23,24.01
24,47.992
25,30.001
26,17.997
27,24.012
28,23.987
29,24.001
30,48.008
31,23.991
32,24.001
33,23.997
34,30.003
35,17.998
36,24.001
37,23.999
38,24.002
39,30.007
40,17.992
41,24
42,24.004
43,23.998
44,30.001
45,18.006
46,23.991
47,24
48,23.998
49,30.009
50,17.992
51,24.001
52,24
53,24.008
54,29.997
55,17.995
56,23.999
57,24.003
58,23.998
59,30.011
60,17.989
61,24.001
62,23.999
63,23.999
64,30.004
65,17.997
66,23.999
67,24.003
68,24.001
69,48.001
70,24.006
71,23.991
72,24.001
73,30.001
74,18.002
75,23.996
76,24.005
77,23.992
78,48.001
79,24.004
80,23.998
81,24
82,30.004
83,17.995
84,24.004
85,23.998
86,23.998
87,30.003
88,17.995
89,24
90,24.002
91,24.002
92,30.002
93,17.999
94,23.999
95,23.998
96,24
97,30.005
98,17.996
99,24
100,24
101,23.999
102,30.006
103,17.999
104,23.995
105,23.999
106,24.001
107,30.006
108,17.995
109,23.998
110,24.002
