block,timestamp,blocktime,transactions,tps
2,1674228888026,11.998,2,0.16669444907484582
3,1674228906023,17.997,2,0.11112963271656387
4,1674228918025,12.002,2,0.16663889351774702
5,1674228996031,78.006,2,0.025639053406148245
6,1674229008026,11.995,2,0.16673614005835766
7,1674229020024,11.998,2,0.16669444907484582
8,1674229032026,12.002,2,0.16663889351774702
9,1674229044025,11.999,2,0.16668055671305942
10,1674229242022,197.997,2,0.010101163148936599
11,1674229254028,12.006,2,0.16658337497917708
12,1674229266025,11.997,2,0.16670834375260482
13,1674229278028,12.003,2,0.16662501041406316
14,1674229296031,18.003,2,0.11109259567849802
15,1674229308025,11.994,2,0.16675004168751043
16,1674229320027,12.002,2,0.16663889351774702
17,1674229332022,11.995,2,0.16673614005835766
18,1674229344028,12.006,2,0.16658337497917708
19,1674229356034,12.006,2,0.16658337497917708
20,1674229368029,11.995,2,0.16673614005835766
21,1674229380027,11.998,2,0.16669444907484582
22,1674229392028,12.001,2,0.16665277893508876
23,1674229404028,12,2,0.16666666666666666
24,1674229476029,72.001,2,0.027777391980666935
25,1674229488024,11.995,2,0.16673614005835766
26,1674229500028,12.004,2,0.16661112962345886
27,1674229512027,11.999,2,0.16668055671305942
28,1674229524028,12.001,2,0.16665277893508876
29,1674229656033,132.005,2,0.015150941252225296
30,1674229668024,11.991,2,0.16679176048703195
31,1674229680028,12.004,2,0.16661112962345886
32,1674229692025,11.997,2,0.16670834375260482
33,1674229704026,12.001,2,0.16665277893508876
34,1674229776028,72.002,82,1.1388572539651678
35,1674229788026,11.998,643,53.59226537756293
36,1674229800026,12,599,49.916666666666664
37,1674229812024,11.998,563,46.9244874145691
38,1674229824026,12.002,569,47.40876520579903
39,1674229836032,12.006,547,45.56055305680493
40,1674229848025,11.993,564,47.02743266905695
41,1674229860029,12.004,490,40.81972675774742
42,1674229872025,11.996,533,44.43147715905302
43,1674229884025,12,572,47.666666666666664
44,1674229896029,12.004,604,50.31656114628457
45,1674229920028,23.999,1063,44.29351222967624
46,1674229932029,12.001,576,47.99600033330556
47,1674229944024,11.995,2,0.16673614005835766
48,1674229956035,12.011,669,55.69894263591708
49,1674229968028,11.993,2,0.16676394563495373
50,1674229980029,12.001,724,60.32830597450213
51,1674229992024,11.995,2,0.16673614005835766
52,1674230004024,12,766,63.833333333333336
53,1674230016027,12.003,2,0.16662501041406316
54,1674230028024,11.997,470,39.17646078186213
55,1674230040029,12.005,2,0.1665972511453561
56,1674230052032,12.003,2,0.16662501041406316
57,1674230064025,11.993,2,0.16676394563495373
58,1674230076033,12.008,2,0.16655562958027983
59,1674230088026,11.993,2,0.16676394563495373
60,1674230100027,12.001,2,0.16665277893508876
61,1674230112030,12.003,2,0.16662501041406316
62,1674230124025,11.995,2,0.16673614005835766
63,1674230316030,192.005,119,0.6197755266789927
64,1674230328030,12,456,38
65,1674230340030,12,425,35.416666666666664
66,1674230352032,12.002,208,17.33044492584569
67,1674230364028,11.996,2,0.16672224074691563
68,1674230436029,72.001,2,0.027777391980666935
69,1674230448028,11.999,2,0.16668055671305942
70,1674230460026,11.998,2,0.16669444907484582
71,1674230472025,11.999,2,0.16668055671305942
