block,timestamp,blocktime,transactions,tps
2,1666285776014,24.001,2,0.083329861255781
3,1666285806014,30,2,0.06666666666666667
4,1666285824012,17.998,2,0.11112345816201799
5,1666285848012,24,2,0.08333333333333333
6,1666285872012,24,2,0.08333333333333333
7,1666285896012,24,2,0.08333333333333333
8,1666285926016,30.004,2,0.06665777896280496
9,1666285944011,17.995,2,0.11114198388441233
10,1666285968012,24.001,2,0.083329861255781
11,1666285992013,24.001,2,0.083329861255781
12,1666286016011,23.998,2,0.08334027835652971
13,1666286046016,30.005,2,0.06665555740709882
14,1666286064012,17.996,2,0.11113580795732386
15,1666286088012,24,2,0.08333333333333333
16,1666286112012,24,822,34.25
17,1666286136020,24.008,182,7.580806397867378
18,1666286166016,29.996,2,0.06667555674089878
19,1666286184012,17.996,2,0.11113580795732386
20,1666286208014,24.002,2,0.08332638946754438
21,1666286232020,24.006,2,0.08331250520703158
22,1666286256013,23.993,2,0.08335764598007753
23,1666286286016,30.003,2,0.06666000066660001
24,1666286304012,17.996,2,0.11113580795732386
25,1666286328013,24.001,2,0.083329861255781
26,1666286352012,23.999,2,0.08333680570023752
27,1666286376014,24.002,2,0.08332638946754438
28,1666286406022,30.008,2,0.06664889362836578
29,1666286424013,17.991,2,0.11116669445834028
30,1666286448012,23.999,2,0.08333680570023752
31,1666286472012,24,2,0.08333333333333333
32,1666286496015,24.003,2,0.08332291796858726
33,1666286526016,30.001,2,0.06666444451851605
34,1666286544013,17.997,2,0.11112963271656387
35,1666286568013,24,2,0.08333333333333333
36,1666286592013,24,2,0.08333333333333333
37,1666286616012,23.999,2,0.08333680570023752
38,1666286646016,30.004,2,0.06665777896280496
39,1666286664013,17.997,2,0.11112963271656387
40,1666286688013,24,2,0.08333333333333333
41,1666286712015,24.002,2,0.08332638946754438
42,1666286736012,23.997,2,0.08334375130224611
43,1666286766016,30.004,2,0.06665777896280496
44,1666286784014,17.998,2,0.11112345816201799
45,1666286808016,24.002,2,0.08332638946754438
46,1666286832012,23.996,2,0.08334722453742291
47,1666286856012,24,2,0.08333333333333333
48,1666286886015,30.003,2,0.06666000066660001
49,1666286904011,17.996,2,0.11113580795732386
50,1666286928013,24.002,2,0.08332638946754438
51,1666286952011,23.998,2,0.08334027835652971
52,1666286976013,24.002,2,0.08332638946754438
53,1666287006015,30.002,2,0.06666222251849876
54,1666287024013,17.998,2,0.11112345816201799
55,1666287048013,24,2,0.08333333333333333
56,1666287072016,24.003,2,0.08332291796858726
57,1666287096013,23.997,2,0.08334375130224611
58,1666287126016,30.003,3,0.0999900009999
59,1666287144013,17.997,2,0.11112963271656387
60,1666287168012,23.999,2,0.08333680570023752
61,1666287192011,23.999,2,0.08333680570023752
62,1666287216013,24.002,2,0.08332638946754438
63,1666287246018,30.005,2,0.06665555740709882
64,1666287264013,17.995,3,0.1667129758266185
65,1666287288016,24.003,2,0.08332291796858726
66,1666287318021,30.005,2,0.06665555740709882
67,1666287336012,17.991,2,0.11116669445834028
68,1666287366015,30.003,2,0.06666000066660001
69,1666287384012,17.997,2,0.11112963271656387
70,1666287408033,24.021,2,0.08326048041297197
71,1666287432012,23.979,2,0.08340631385795905
72,1666287456013,24.001,2,0.083329861255781
73,1666287486016,30.003,2,0.06666000066660001
74,1666287504012,17.996,2,0.11113580795732386
75,1666287528012,24,2,0.08333333333333333
76,1666287552013,24.001,2,0.083329861255781
77,1666287576011,23.998,2,0.08334027835652971
78,1666287606017,30.006,2,0.06665333599946677
79,1666287624011,17.994,2,0.11114816049794377
80,1666287648011,24,2,0.08333333333333333
81,1666287672012,24.001,2,0.083329861255781
82,1666287696013,24.001,2,0.083329861255781
83,1666287726016,30.003,2,0.06666000066660001
84,1666287744012,17.996,2,0.11113580795732386
85,1666287768012,24,2,0.08333333333333333
86,1666287792013,24.001,2,0.083329861255781
87,1666287816012,23.999,2,0.08333680570023752
88,1666287846021,30.009,2,0.06664667266486721
89,1666287864013,17.992,2,0.11116051578479323
90,1666287888012,23.999,2,0.08333680570023752
91,1666287912014,24.002,2,0.08332638946754438
92,1666287936012,23.998,2,0.08334027835652971
93,1666287966016,30.004,2,0.06665777896280496
94,1666287984012,17.996,2,0.11113580795732386
95,1666288008012,24,2,0.08333333333333333
96,1666288032013,24.001,2,0.083329861255781
97,1666288056015,24.002,2,0.08332638946754438
98,1666288086014,29.999,102,3.4001133371112373
99,1666288104013,17.999,2,0.11111728429357187
100,1666288128014,24.001,2,0.083329861255781
101,1666288152013,23.999,2,0.08333680570023752
102,1666288176013,24,2,0.08333333333333333
103,1666288206015,30.002,2,0.06666222251849876
104,1666288224011,17.996,2,0.11113580795732386
105,1666288248012,24.001,2,0.083329861255781
106,1666288272014,24.002,2,0.08332638946754438
107,1666288296011,23.997,2,0.08334375130224611
108,1666288326017,30.006,2,0.06665333599946677
109,1666288344013,17.996,2,0.11113580795732386
110,1666288368013,24,2,0.08333333333333333
111,1666288392017,24.004,2,0.08331944675887351
112,1666288422012,29.995,2,0.06667777962993832
113,1666288446016,24.004,2,0.08331944675887351
114,1666288464011,17.995,2,0.11114198388441233
115,1666288488012,24.001,2,0.083329861255781
