block,timestamp,blocktime,transactions,tps
113,1675681290027,12,2,0.16666666666666666
114,1675681302027,12,2,0.16666666666666666
115,1675681314028,12.001,2,0.16665277893508876
116,1675681326025,11.997,2,0.16670834375260482
117,1675681338027,12.002,2,0.16663889351774702
118,1675681356026,17.999,2,0.11111728429357187
119,1675681368029,12.003,2,0.16662501041406316
120,1675681380028,11.999,2,0.16668055671305942
121,1675681392025,11.997,2,0.16670834375260482
122,1675681410032,18.007,2,0.11106791803187649
123,1675681422027,11.995,2,0.16673614005835766
124,1675681434027,12,2,0.16666666666666666
125,1675681446028,12.001,2,0.16665277893508876
126,1675681458029,12.001,2,0.16665277893508876
127,1675681470029,12,2,0.16666666666666666
128,1675681482028,11.999,2,0.16668055671305942
129,1675681494028,12,2,0.16666666666666666
130,1675681506027,11.999,2,0.16668055671305942
131,1675681518028,12.001,2,0.16665277893508876
132,1675681530030,12.002,2,0.16663889351774702
133,1675681542026,11.996,2,0.16672224074691563
134,1675681554029,12.003,2,0.16662501041406316
135,1675681566031,12.002,2,0.16663889351774702
136,1675681578025,11.994,2,0.16675004168751043
137,1675681590030,12.005,2,0.1665972511453561
138,1675681602027,11.997,2,0.16670834375260482
139,1675681614024,11.997,2,0.16670834375260482
140,1675681626027,12.003,2,0.16662501041406316
141,1675681638029,12.002,206,17.163806032327944
142,1675681650028,11.999,425,35.41961830152513
143,1675681662027,11.999,438,36.50304192016001
144,1675681674029,12.002,425,35.41076487252124
145,1675681686028,11.999,402,33.50279189932494
146,1675681698030,12.002,438,36.4939176803866
147,1675681710035,12.005,435,36.23490212411495
148,1675681722029,11.994,375,31.265632816408203
149,1675681734025,11.996,470,39.17972657552517
150,1675681758025,24,835,34.791666666666664
151,1675681770030,12.005,451,37.5676801332778
152,1675681782028,11.998,415,34.58909818303051
153,1675681794028,12,409,34.083333333333336
154,1675681806029,12.001,213,17.74852095658695
155,1675681818028,11.999,427,35.58629885823819
156,1675681830033,12.005,390,32.486463973344435
157,1675681842028,11.995,2,0.16673614005835766
158,1675681854028,12,579,48.25
159,1675681878025,23.997,2,0.08334375130224611
160,1675681890033,12.008,527,43.887408394403735
161,1675681908026,17.993,2,0.11115433779803258
162,1675681920029,12.003,2,0.16662501041406316
163,1675681932028,11.999,484,40.33669472456038
164,1675681950030,18.002,2,0.11109876680368849
165,1675681962028,11.998,2,0.16669444907484582
166,1675681974026,11.998,532,44.340723453908986
167,1675681986028,12.002,2,0.16663889351774702
168,1675681998028,12,2,0.16666666666666666
169,1675682010031,12.003,507,42.239440139965005
170,1675682028030,17.999,2,0.11111728429357187
171,1675682040028,11.998,524,43.67394565760961
172,1675682058028,18,2,0.1111111111111111
173,1675682070031,12.003,2,0.16662501041406316
174,1675682082026,11.995,139,11.588161734055857
175,1675682094029,12.003,2,0.16662501041406316
