block,timestamp,blocktime,transactions,tps,events
108,1708599294030,11.998,2,0.16669444907484582,2
109,1708599312025,17.995,2,0.11114198388441233,2
110,1708599324032,12.007,2,0.16656950112434413,2
111,1708599342036,18.004,2,0.1110864252388358,2
112,1708599360029,17.993,2,0.11115433779803258,2
113,1708599372030,12.001,2,0.16665277893508876,2
114,1708599384030,12,2,0.16666666666666666,2
115,1708599408027,23.997,2,0.08334375130224611,2
116,1708599420028,12.001,2,0.16665277893508876,2
117,1708599432029,12.001,2,0.16665277893508876,2
118,1708599462037,30.008,2,0.06664889362836578,2
119,1708599474026,11.989,2,0.1668195846192343,2
120,1708599486028,12.002,2,0.16663889351774702,2
121,1708599504028,18,2,0.1111111111111111,2
122,1708599522032,18.004,2,0.1110864252388358,2
123,1708599534029,11.997,2,0.16670834375260482,2
124,1708599552030,18.001,2,0.1111049386145214,2
125,1708599564028,11.998,2,0.16669444907484582,2
126,1708599582033,18.005,2,0.11108025548458762,2
127,1708599600027,17.994,2,0.11114816049794377,2
128,1708599612030,12.003,12,0.9997500624843789,42
129,1708599624028,11.998,509,42.423737289548264,2030
130,1708599648027,23.999,804,33.501395891495484,3240
131,1708599666029,18.002,569,31.607599155649375,2309
132,1708599678029,12,410,34.166666666666664,1673
133,1708599702034,24.005,833,34.70110393667986,3365
134,1708599720030,17.996,884,49.122027117137144,3569
135,1708599744027,23.997,796,33.170813018293956,3256
136,1708599768031,24.004,889,37.035494084319275,3589
137,1708599792025,23.994,868,36.17571059431525,3544
138,1708599810032,18.007,528,29.32193036041539,2145
139,1708599822033,12.001,398,33.16390300808266,1625
140,1708599840027,17.994,709,39.40202289652106,2869
141,1708599858030,18.003,546,30.328278620229963,2217
142,1708599870031,12.001,427,35.580368302641446,1741
143,1708599888030,17.999,2,0.11111728429357187,41
144,1708599900032,12.002,355,29.578403599400097,1453
145,1708599912031,11.999,428,35.66963913659472,1745
146,1708599942033,30.002,2,0.06666222251849876,41
147,1708599960029,17.996,71,3.9453211824849967,317
148,1708599984032,24.003,2,0.08332291796858726,80
149,1708600002036,18.004,2,0.1110864252388358,41
150,1708600014031,11.995,2,0.16673614005835766,41
151,1708600032027,17.996,2,0.11113580795732386,41
152,1708600044029,12.002,2,0.16663889351774702,41
153,1708600062035,18.006,2,0.11107408641563923,41
154,1708600080026,17.991,2,0.11116669445834028,41
155,1708600092030,12.004,2,0.16661112962345886,41
156,1708600104031,12.001,2,0.16665277893508876,41
157,1708600128028,23.997,2,0.08334375130224611,41
158,1708600140028,12,2,0.16666666666666666,41
159,1708600152028,12,2,0.16666666666666666,41
