block,timestamp,blocktime,transactions,tps
3501,1675760424033,12.003,2,0.16662501041406316
3502,1675760436032,11.999,2,0.16668055671305942
3503,1675760448029,11.997,2,0.16670834375260482
3504,1675760460037,12.008,2,0.16655562958027983
3505,1675760472026,11.989,2,0.1668195846192343
3506,1675760484029,12.003,2,0.16662501041406316
3507,1675760496034,12.005,2,0.1665972511453561
3508,1675760508025,11.991,2,0.16679176048703195
3509,1675760526031,18.006,2,0.11107408641563923
3510,1675760544027,17.996,2,0.11113580795732386
3511,1675760556034,12.007,2,0.16656950112434413
3512,1675760568032,11.998,2,0.16669444907484582
3513,1675760580030,11.998,2,0.16669444907484582
3514,1675760592031,12.001,2,0.16665277893508876
3515,1675760604034,12.003,2,0.16662501041406316
3516,1675760616029,11.995,2,0.16673614005835766
3517,1675760628028,11.999,2,0.16668055671305942
3518,1675760640033,12.005,2,0.1665972511453561
3519,1675760652025,11.992,2,0.1667778519012675
3520,1675760664033,12.008,2,0.16655562958027983
3521,1675760676027,11.994,2,0.16675004168751043
3522,1675760688027,12,2,0.16666666666666666
3523,1675760700034,12.007,2,0.16656950112434413
3524,1675760712030,11.996,2,0.16672224074691563
3525,1675760724026,11.996,2,0.16672224074691563
3526,1675760736030,12.004,2,0.16661112962345886
3527,1675760748029,11.999,2,0.16668055671305942
3528,1675760760029,12,2,0.16666666666666666
3529,1675760772031,12.002,2,0.16663889351774702
