block,timestamp,blocktime,transactions,tps,events
107,1708438926029,12.001,242,20.164986251145738,482
108,1708438938028,11.999,610,50.83756979748312,1218
109,1708438950032,12.004,480,39.98667110963012,958
110,1708438962033,12.001,549,45.746187817681864,1096
111,1708438974031,11.998,241,20.08668111351892,480
112,1708438986028,11.997,624,52.0130032508127,1246
113,1708438998028,12,481,40.083333333333336,960
114,1708439010031,12.003,559,46.57169041073065,1116
115,1708439022040,12.009,242,20.15155300191523,482
116,1708439034031,11.991,595,49.620548744892005,1188
117,1708439046032,12.001,480,39.9966669444213,958
118,1708439058029,11.997,527,43.92764857881137,1052
119,1708439070028,11.999,198,16.501375114592882,394
120,1708439082029,12.001,659,54.91209065911174,1316
121,1708439100028,17.999,1146,63.670203900216684,2290
122,1708439112028,12,2,0.16666666666666666,2
123,1708439124028,12,84,7,166
124,1708439142035,18.007,156,8.663297606486365,310
125,1708439154030,11.995,516,43.017924135056276,1030
126,1708439172032,18.002,2,0.11109876680368849,2
127,1708439184031,11.999,2,0.16668055671305942,2
128,1708439202033,18.002,2,0.11109876680368849,2
129,1708439214032,11.999,2,0.16668055671305942,2
130,1708439226031,11.999,2,0.16668055671305942,2
131,1708439238029,11.998,2,0.16669444907484582,2
132,1708439250029,12,2,0.16666666666666666,2
133,1708439262036,12.007,2,0.16656950112434413,2
134,1708439274031,11.995,2,0.16673614005835766,2
135,1708439286029,11.998,2,0.16669444907484582,2
136,1708439298030,12.001,2,0.16665277893508876,2
137,1708439310034,12.004,2,0.16661112962345886,2
138,1708439322031,11.997,2,0.16670834375260482,2
139,1708439334029,11.998,2,0.16669444907484582,2
140,1708439346028,11.999,2,0.16668055671305942,2
141,1708439358029,12.001,2,0.16665277893508876,2
142,1708439370029,12,2,0.16666666666666666,2
143,1708439382033,12.004,2,0.16661112962345886,2
144,1708439394028,11.995,2,0.16673614005835766,2
145,1708439406026,11.998,2,0.16669444907484582,2
146,1708439418028,12.002,2,0.16663889351774702,2
147,1708439430032,12.004,2,0.16661112962345886,2
148,1708439442033,12.001,2,0.16665277893508876,2
149,1708439454030,11.997,2,0.16670834375260482,2
150,1708439466033,12.003,2,0.16662501041406316,2
151,1708439478029,11.996,2,0.16672224074691563,2
152,1708439490029,12,2,0.16666666666666666,2
153,1708439502036,12.007,2,0.16656950112434413,2
154,1708439514034,11.998,2,0.16669444907484582,2
155,1708439526028,11.994,2,0.16675004168751043,2
156,1708439538029,12.001,2,0.16665277893508876,2
157,1708439550027,11.998,2,0.16669444907484582,2
