block,timestamp,blocktime,transactions,tps,events
107,1708439352027,11.998,2,0.16669444907484582,2
108,1708439382031,30.004,2,0.06665777896280496,2
109,1708439394028,11.997,2,0.16670834375260482,2
110,1708439406027,11.999,2,0.16668055671305942,2
111,1708439424028,18.001,2,0.1111049386145214,2
112,1708439442035,18.007,2,0.11106791803187649,2
113,1708439454031,11.996,2,0.16672224074691563,2
114,1708439472030,17.999,810,45.00250013889661,1618
115,1708439490029,17.999,648,36.00200011111729,1294
116,1708439502038,12.009,458,38.13806311932717,914
117,1708439520028,17.99,972,54.03001667593108,1942
118,1708439538029,18.001,642,35.66468529526137,1282
119,1708439568027,29.998,1009,33.635575705047,2016
120,1708439580036,12.009,490,40.80273128486968,978
121,1708439592028,11.992,478,39.85990660440293,954
122,1708439622040,30.012,1013,33.75316540050646,2024
123,1708439640025,17.985,1038,57.71476230191827,2074
124,1708439664029,24.004,206,8.581903016163972,410
125,1708439682038,18.009,628,34.87145316230774,1254
126,1708439712028,29.99,2,0.06668889629876626,172
127,1708439724030,12.002,565,47.07548741876354,1212
128,1708439742040,18.01,34,1.8878400888395335,234
129,1708439760027,17.987,2,0.11119141602268307,86
130,1708439772029,12.002,560,46.65889018496917,1204
131,1708439790029,18,2,0.1111111111111111,88
132,1708439808033,18.004,2,0.1110864252388358,2
133,1708439820030,11.997,481,40.09335667250146,1046
134,1708439838025,17.995,2,0.11114198388441233,90
135,1708439862033,24.008,2,0.08330556481172943,90
136,1708439874033,12,2,0.16666666666666666,90
137,1708439886031,11.998,2,0.16669444907484582,2
138,1708439904026,17.995,2,0.11114198388441233,90
139,1708439922032,18.006,2,0.11107408641563923,90
140,1708439934029,11.997,2,0.16670834375260482,90
141,1708439952026,17.997,2,0.11112963271656387,90
142,1708439964028,12.002,2,0.16663889351774702,2
143,1708439982033,18.005,2,0.11108025548458762,178
144,1708440000029,17.996,2,0.11113580795732386,90
145,1708440012029,12,2,0.16666666666666666,90
146,1708440024033,12.004,2,0.16661112962345886,90
147,1708440048031,23.998,2,0.08334027835652971,178
148,1708440060030,11.999,2,0.16668055671305942,90
149,1708440072026,11.996,2,0.16672224074691563,90
150,1708440102034,30.008,2,0.06664889362836578,266
151,1708440114031,11.997,2,0.16670834375260482,90
152,1708440126027,11.996,2,0.16672224074691563,90
153,1708440144026,17.999,2,0.11111728429357187,90
154,1708440162034,18.008,2,0.11106175033318526,178
155,1708440174027,11.993,2,0.16676394563495373,2
156,1708440192028,18.001,2,0.1111049386145214,178
157,1708440204033,12.005,2,0.1665972511453561,90
