block,timestamp,blocktime,transactions,tps,events
307,1708439358005,6.001,2,0.33327778703549404,4
308,1708439364004,5.999,2,0.33338889814969164,4
309,1708439370003,5.999,2,0.33338889814969164,3
310,1708439376004,6.001,2,0.33327778703549404,3
311,1708439382004,6,2,0.3333333333333333,7
312,1708439388003,5.999,2,0.33338889814969164,4
313,1708439394004,6.001,2,0.33327778703549404,4
314,1708439400004,6,2,0.3333333333333333,4
315,1708439406004,6,2,0.3333333333333333,4
316,1708439412004,6,2,0.3333333333333333,4
317,1708439418004,6,2,0.3333333333333333,4
318,1708439424004,6,2,0.3333333333333333,3
319,1708439430004,6,2,0.3333333333333333,4
320,1708439436004,6,2,0.3333333333333333,4
321,1708439442004,6,2,0.3333333333333333,7
322,1708439448004,6,3,0.5,6
323,1708439454004,6,2,0.3333333333333333,4
324,1708439460004,6,2,0.3333333333333333,4
325,1708439466004,6,2,0.3333333333333333,4
326,1708439472004,6,2,0.3333333333333333,3
327,1708439478004,6,2,0.3333333333333333,4
328,1708439484004,6,2,0.3333333333333333,4
329,1708439490004,6,2,0.3333333333333333,3
330,1708439496004,6,2,0.3333333333333333,4
331,1708439502004,6,2,0.3333333333333333,7
332,1708439508005,6.001,3,0.4999166805532411,6
333,1708439514004,5.999,2,0.33338889814969164,4
334,1708439520004,6,2,0.3333333333333333,3
335,1708439526004,6,2,0.3333333333333333,4
336,1708439532004,6,3,0.5,6
337,1708439538004,6,2,0.3333333333333333,3
338,1708439544004,6,2,0.3333333333333333,4
339,1708439550004,6,2,0.3333333333333333,4
340,1708439556004,6,2,0.3333333333333333,3
341,1708439562004,6,2,0.3333333333333333,6
342,1708439568004,6,2,0.3333333333333333,3
343,1708439574004,6,2,0.3333333333333333,4
344,1708439580004,6,2,0.3333333333333333,4
345,1708439586004,6,2,0.3333333333333333,4
346,1708439592004,6,2,0.3333333333333333,4
347,1708439598004,6,2,0.3333333333333333,4
348,1708439604005,6.001,3,0.4999166805532411,6
349,1708439610004,5.999,2,0.33338889814969164,3
350,1708439616004,6,2,0.3333333333333333,3
351,1708439622003,5.999,2,0.33338889814969164,7
352,1708439628004,6.001,3,0.4999166805532411,6
353,1708439634004,6,2,0.3333333333333333,4
354,1708439640004,6,2,0.3333333333333333,3
355,1708439646005,6.001,2,0.33327778703549404,4
356,1708439652004,5.999,2,0.33338889814969164,4
357,1708439658004,6,2,0.3333333333333333,3
358,1708439664004,6,2,0.3333333333333333,3
359,1708439670003,5.999,2,0.33338889814969164,4
360,1708439676005,6.002,2,0.33322225924691773,4
361,1708439682004,5.999,2,0.33338889814969164,7
362,1708439688004,6,2,0.3333333333333333,4
363,1708439694004,6,3,0.5,6
364,1708439700003,5.999,2,0.33338889814969164,3
365,1708439706004,6.001,3,0.4999166805532411,5
366,1708439712004,6,2,0.3333333333333333,3
367,1708439718005,6.001,2,0.33327778703549404,4
368,1708439724004,5.999,2,0.33338889814969164,4
369,1708439730004,6,2,0.3333333333333333,4
370,1708439736004,6,2,0.3333333333333333,4
371,1708439742005,6.001,2,0.33327778703549404,6
372,1708439748004,5.999,2,0.33338889814969164,4
373,1708439754004,6,2,0.3333333333333333,4
374,1708439760004,6,3,0.5,4
375,1708439766004,6,2,0.3333333333333333,4
376,1708439772004,6,2,0.3333333333333333,4
377,1708439778004,6,2,0.3333333333333333,3
378,1708439784004,6,2,0.3333333333333333,4
379,1708439790004,6,2,0.3333333333333333,3
380,1708439796004,6,2,0.3333333333333333,3
381,1708439802005,6.001,2,0.33327778703549404,7
382,1708439808004,5.999,2,0.33338889814969164,3
383,1708439814004,6,2,0.3333333333333333,4
384,1708439820004,6,2,0.3333333333333333,3
385,1708439826004,6,2,0.3333333333333333,4
386,1708439832004,6,2,0.3333333333333333,4
387,1708439838004,6,2,0.3333333333333333,2
388,1708439844004,6,2,0.3333333333333333,4
389,1708439850005,6.001,2,0.33327778703549404,4
390,1708439856004,5.999,2,0.33338889814969164,2
391,1708439862004,6,2,0.3333333333333333,7
392,1708439868004,6,3,0.5,6
393,1708439874004,6,2,0.3333333333333333,4
394,1708439880004,6,2,0.3333333333333333,3
395,1708439886005,6.001,2,0.33327778703549404,4
396,1708439892004,5.999,2,0.33338889814969164,4
397,1708439898004,6,2,0.3333333333333333,3
398,1708439904004,6,2,0.3333333333333333,3
399,1708439910004,6,2,0.3333333333333333,4
400,1708439916004,6,2,0.3333333333333333,3
401,1708439922004,6,2,0.3333333333333333,7
402,1708439928004,6,2,0.3333333333333333,4
403,1708439934005,6.001,2,0.33327778703549404,4
404,1708439940004,5.999,2,0.33338889814969164,3
405,1708439946004,6,3,0.5,6
406,1708439952004,6,2,0.3333333333333333,3
407,1708439958004,6,2,0.3333333333333333,3
408,1708439964005,6.001,2,0.33327778703549404,4
409,1708439970005,6,2,0.3333333333333333,4
410,1708439976004,5.999,2,0.33338889814969164,4
411,1708439982005,6.001,2,0.33327778703549404,7
412,1708439988003,5.998,2,0.33344448149383127,4
413,1708439994004,6.001,2,0.33327778703549404,4
414,1708440000004,6,2,0.3333333333333333,3
415,1708440006003,5.999,2,0.33338889814969164,4
416,1708440012004,6.001,2,0.33327778703549404,4
417,1708440018004,6,3,0.5,6
418,1708440024004,6,2,0.3333333333333333,4
419,1708440030003,5.999,2,0.33338889814969164,4
420,1708440036004,6.001,2,0.33327778703549404,4
421,1708440042004,6,2,0.3333333333333333,6
422,1708440048004,6,3,0.5,5
423,1708440054004,6,3,0.5,6
424,1708440060005,6.001,2,0.33327778703549404,4
425,1708440066004,5.999,2,0.33338889814969164,4
426,1708440072004,6,2,0.3333333333333333,4
427,1708440078005,6.001,2,0.33327778703549404,4
428,1708440084005,6,2,0.3333333333333333,4
429,1708440090004,5.999,2,0.33338889814969164,3
430,1708440096004,6,2,0.3333333333333333,3
431,1708440102004,6,2,0.3333333333333333,7
432,1708440108004,6,3,0.5,6
433,1708440114004,6,2,0.3333333333333333,4
434,1708440120004,6,2,0.3333333333333333,4
435,1708440126005,6.001,2,0.33327778703549404,4
436,1708440132005,6,2,0.3333333333333333,4
437,1708440138005,6,2,0.3333333333333333,4
438,1708440144004,5.999,2,0.33338889814969164,3
439,1708440150005,6.001,2,0.33327778703549404,4
440,1708440156005,6,2,0.3333333333333333,4
441,1708440162004,5.999,2,0.33338889814969164,7
442,1708440168004,6,2,0.3333333333333333,3
443,1708440174003,5.999,2,0.33338889814969164,4
444,1708440180004,6.001,2,0.33327778703549404,4
445,1708440186005,6.001,2,0.33327778703549404,4
446,1708440192004,5.999,3,0.5000833472245374,5
447,1708440198003,5.999,2,0.33338889814969164,4
448,1708440204004,6.001,2,0.33327778703549404,4
449,1708440210004,6,2,0.3333333333333333,4
450,1708440216004,6,2,0.3333333333333333,4
451,1708440222005,6.001,2,0.33327778703549404,7
