Input TPS,Max Output TPS,Avg Output TPS,Max Block Time,Avg Block Time,TPS Variance,TPS Standard Deviation,Block Time Variance,Block Time Standard Deviation,Success TX,Failed TX,Percentage Failed TX,Test Delay (s),Expected Delay (s)
10,10.07,9.63,42.0,36.0,3.08,1.75,2.48,1.58,10000,0,,1008.0,1000.0
50,26.0,23.2,36.01,36.0,12.48,3.53,0.0,0.0,10000,0,,396.0,200.0
100,30.87,21.56,42.0,36.0,65.99,8.12,5.54,2.35,10000,0,,432.0,100.0
200,25.92,22.96,36.01,36.0,28.21,5.31,0.0,0.0,9070,930,9.3%,360.0,50.0
400,26.39,23.03,42.0,36.0,46.13,6.79,0.0,0.0,9097,903,9.03%,360.0,25.0
600,30.37,23.31,42.02,36.55,42.92,6.55,22.68,4.76,9084,916,9.16%,360.0,16.67
1000,28.9,22.92,42.0,36.0,29.12,5.4,7.19,2.68,8192,1808,18.08%,324.0,10.0
1500,31.41,24.02,65.99,39.6,17.0,4.12,87.82,9.37,9132,868,8.68%,366.0,6.67
1800,29.06,24.51,42.01,36.0,4.11,2.03,8.01,2.83,7873,2127,21.27%,288.0,5.56
2000,28.67,22.94,42.0,36.0,21.08,4.59,7.21,2.68,8192,1808,18.08%,324.0,5.0
