Input TPS,Max Output TPS,Avg Output TPS,Max Block Time,Avg Block Time,TPS Variance,TPS Standard Deviation,Block Time Variance,Block Time Standard Deviation,Success TX,Failed TX,Percentage Failed TX,Test Delay (s),Expected Delay (s)
10,0.67,0.5,6.0,6.0,0.0,0.02,0.0,0.0,46,9954,99.54%,2550.0,1000.0
50,0.5,0.5,6.0,6.0,0.0,0.0,0.0,0.0,20,9980,99.8%,1044.0,200.0
100,0.67,0.51,6.0,6.0,0.0,0.04,0.0,0.0,20,9980,99.8%,888.0,100.0
200,0.5,0.5,6.0,6.0,0.0,0.0,0.0,0.0,13,9987,99.87%,840.0,50.0
400,0.67,0.51,6.0,6.0,0.0,0.04,0.0,0.0,16,9984,99.84%,798.0,25.0
600,0.5,0.5,6.0,6.0,0.0,0.0,0.0,0.0,14,9986,99.86%,840.0,16.67
1000,0.67,0.51,6.0,6.0,0.0,0.04,0.0,0.0,19,9981,99.81%,954.0,10.0
1500,0.67,0.51,6.0,6.0,0.0,0.04,0.0,0.0,16,9984,99.84%,882.0,6.67
1800,0.5,0.5,6.0,6.0,0.0,0.0,0.0,0.0,16,9984,99.84%,930.0,5.56
2000,0.5,0.5,6.0,6.0,0.0,0.0,0.0,0.0,14,9986,99.86%,726.0,5.0
