Input TPS,Max Output TPS,Avg Output TPS,Max Block Time,Avg Block Time,TPS Variance,TPS Standard Deviation,Block Time Variance,Block Time Standard Deviation,Success TX,Failed TX,Percentage Failed TX,Test Delay (s),Expected Delay (s)
10,10.21,9.49,54.0,48.0,3.09,1.76,3.28,1.81,10000,0,,1008.0,1000.0
50,21.81,20.88,48.01,48.0,1.82,1.35,0.0,0.0,10000,0,,432.0,200.0
100,25.6,21.11,54.01,48.0,11.03,3.32,14.43,3.8,10000,0,,438.0,100.0
200,25.36,19.47,54.01,48.0,40.54,6.37,16.04,4.0,8318,1682,16.82%,384.0,50.0
400,22.42,18.46,48.01,48.0,23.94,4.89,0.0,0.0,8840,1160,11.6%,432.0,25.0
600,25.39,21.62,96.01,48.0,3.76,1.94,16.06,4.01,9257,743,7.43%,384.0,16.67
1000,24.67,21.41,54.01,48.0,3.61,1.9,16.05,4.01,9170,830,8.3%,384.0,10.0
1500,24.0,21.29,54.02,48.0,3.77,1.94,24.06,4.9,9102,898,8.98%,384.0,6.67
1800,23.36,19.38,54.01,48.0,21.79,4.67,14.43,3.8,9153,847,8.47%,438.0,5.56
2000,24.79,17.76,96.0,48.0,51.01,7.14,14.42,3.8,8429,1571,15.71%,432.0,5.0
