block,timestamp,blocktime,transactions,tps,events
305,1708570002003,5.999,2,0.33338889814969164,4
306,1708570008005,6.002,2,0.33322225924691773,4
307,1708570014003,5.998,2,0.33344448149383127,2
308,1708570020003,6,2,0.3333333333333333,2
309,1708570026003,6,3,0.5,4
310,1708570032004,6.001,2,0.33327778703549404,2
311,1708570038004,6,2,0.3333333333333333,4
312,1708570044004,6,2,0.3333333333333333,7
313,1708570050004,6,2,0.3333333333333333,4
314,1708570056004,6,2,0.3333333333333333,4
315,1708570062004,6,2,0.3333333333333333,2
316,1708570068003,5.999,2,0.33338889814969164,2
317,1708570074003,6,3,0.5,4
318,1708570080004,6.001,2,0.33327778703549404,2
319,1708570086004,6,2,0.3333333333333333,4
320,1708570092004,6,2,0.3333333333333333,4
321,1708570098003,5.999,2,0.33338889814969164,4
322,1708570104004,6.001,2,0.33327778703549404,7
323,1708570110003,5.999,2,0.33338889814969164,2
324,1708570116004,6.001,2,0.33327778703549404,2
325,1708570122003,5.999,2,0.33338889814969164,2
326,1708570128004,6.001,3,0.4999166805532411,4
327,1708570134004,6,2,0.3333333333333333,4
328,1708570140004,6,2,0.3333333333333333,4
329,1708570146004,6,2,0.3333333333333333,3
330,1708570152003,5.999,2,0.33338889814969164,4
331,1708570158004,6.001,2,0.33327778703549404,3
332,1708570164003,5.999,2,0.33338889814969164,5
333,1708570170003,6,2,0.3333333333333333,2
334,1708570176004,6.001,2,0.33327778703549404,2
335,1708570182003,5.999,2,0.33338889814969164,4
336,1708570188003,6,2,0.3333333333333333,4
337,1708570194003,6,2,0.3333333333333333,3
338,1708570200004,6.001,2,0.33327778703549404,4
339,1708570206003,5.999,2,0.33338889814969164,3
340,1708570212004,6.001,2,0.33327778703549404,2
341,1708570218003,5.999,2,0.33338889814969164,2
342,1708570224003,6,2,0.3333333333333333,5
343,1708570230003,6,2,0.3333333333333333,3
344,1708570236004,6.001,2,0.33327778703549404,4
345,1708570242004,6,2,0.3333333333333333,4
346,1708570248003,5.999,2,0.33338889814969164,3
347,1708570254004,6.001,2,0.33327778703549404,2
348,1708570260003,5.999,2,0.33338889814969164,2
349,1708570266004,6.001,2,0.33327778703549404,2
350,1708570272003,5.999,2,0.33338889814969164,2
351,1708570278003,6,2,0.3333333333333333,4
352,1708570284004,6.001,2,0.33327778703549404,7
353,1708570290003,5.999,2,0.33338889814969164,3
354,1708570296004,6.001,2,0.33327778703549404,4
355,1708570302003,5.999,2,0.33338889814969164,3
356,1708570308003,6,2,0.3333333333333333,2
357,1708570314003,6,2,0.3333333333333333,2
358,1708570320003,6,3,0.5,4
359,1708570326003,6,2,0.3333333333333333,4
360,1708570332003,6,2,0.3333333333333333,4
361,1708570338004,6.001,2,0.33327778703549404,2
362,1708570344003,5.999,2,0.33338889814969164,7
363,1708570350003,6,2,0.3333333333333333,2
364,1708570356003,6,3,0.5,4
365,1708570362003,6,2,0.3333333333333333,2
366,1708570368004,6.001,2,0.33327778703549404,2
367,1708570374004,6,2,0.3333333333333333,4
368,1708570380004,6,2,0.3333333333333333,4
369,1708570386003,5.999,3,0.5000833472245374,5
370,1708570392004,6.001,2,0.33327778703549404,4
371,1708570398004,6,2,0.3333333333333333,3
372,1708570404004,6,2,0.3333333333333333,5
373,1708570410002,5.998,2,0.33344448149383127,2
374,1708570416003,6.001,2,0.33327778703549404,2
375,1708570422004,6.001,3,0.4999166805532411,6
376,1708570428004,6,2,0.3333333333333333,4
377,1708570434003,5.999,2,0.33338889814969164,3
378,1708570440003,6,2,0.3333333333333333,4
379,1708570446003,6,3,0.5,5
380,1708570452003,6,2,0.3333333333333333,2
381,1708570458003,6,2,0.3333333333333333,2
382,1708570464004,6.001,2,0.33327778703549404,5
383,1708570470003,5.999,2,0.33338889814969164,4
384,1708570476004,6.001,3,0.4999166805532411,6
385,1708570482003,5.999,2,0.33338889814969164,3
386,1708570488004,6.001,2,0.33327778703549404,4
387,1708570494004,6,3,0.5,5
388,1708570500003,5.999,2,0.33338889814969164,2
389,1708570506003,6,2,0.3333333333333333,2
390,1708570512004,6.001,2,0.33327778703549404,2
391,1708570518004,6,2,0.3333333333333333,4
392,1708570524003,5.999,2,0.33338889814969164,7
393,1708570530004,6.001,2,0.33327778703549404,3
394,1708570536004,6,2,0.3333333333333333,4
395,1708570542003,5.999,2,0.33338889814969164,3
396,1708570548003,6,2,0.3333333333333333,2
397,1708570554003,6,2,0.3333333333333333,2
398,1708570560004,6.001,2,0.33327778703549404,2
399,1708570566004,6,2,0.3333333333333333,4
400,1708570572004,6,2,0.3333333333333333,4
401,1708570578003,5.999,2,0.33338889814969164,3
402,1708570584004,6.001,2,0.33327778703549404,7
403,1708570590004,6,2,0.3333333333333333,2
404,1708570596003,5.999,2,0.33338889814969164,2
405,1708570602003,6,3,0.5,4
406,1708570608002,5.999,2,0.33338889814969164,2
407,1708570614003,6.001,2,0.33327778703549404,4
408,1708570620004,6.001,2,0.33327778703549404,4
409,1708570626004,6,2,0.3333333333333333,3
410,1708570632003,5.999,2,0.33338889814969164,4
411,1708570638003,6,2,0.3333333333333333,3
412,1708570644004,6.001,2,0.33327778703549404,5
413,1708570650003,5.999,2,0.33338889814969164,2
414,1708570656004,6.001,2,0.33327778703549404,2
415,1708570662003,5.999,2,0.33338889814969164,4
416,1708570668010,6.007,2,0.332944897619444,4
417,1708570674003,5.993,2,0.3337226764558652,4
418,1708570680004,6.001,2,0.33327778703549404,4
419,1708570686003,5.999,3,0.5000833472245374,4
420,1708570692003,6,2,0.3333333333333333,2
421,1708570698003,6,2,0.3333333333333333,2
422,1708570704004,6.001,2,0.33327778703549404,5
423,1708570710002,5.998,2,0.33344448149383127,4
424,1708570716004,6.002,2,0.33322225924691773,4
425,1708570722003,5.999,2,0.33338889814969164,4
426,1708570728004,6.001,2,0.33327778703549404,4
427,1708570734003,5.999,2,0.33338889814969164,2
428,1708570740003,6,2,0.3333333333333333,2
429,1708570746003,6,2,0.3333333333333333,2
430,1708570752003,6,2,0.3333333333333333,2
431,1708570758004,6.001,2,0.33327778703549404,4
432,1708570764004,6,2,0.3333333333333333,7
433,1708570770003,5.999,2,0.33338889814969164,4
434,1708570776004,6.001,2,0.33327778703549404,4
435,1708570782003,5.999,2,0.33338889814969164,2
436,1708570788004,6.001,2,0.33327778703549404,2
437,1708570794003,5.999,2,0.33338889814969164,2
438,1708570800003,6,2,0.3333333333333333,2
439,1708570806003,6,2,0.3333333333333333,4
440,1708570812004,6.001,2,0.33327778703549404,4
441,1708570818003,5.999,2,0.33338889814969164,4
442,1708570824004,6.001,2,0.33327778703549404,7
443,1708570830004,6,2,0.3333333333333333,2
444,1708570836004,6,2,0.3333333333333333,2
445,1708570842003,5.999,2,0.33338889814969164,2
446,1708570848003,6,2,0.3333333333333333,2
447,1708570854004,6.001,2,0.33327778703549404,4
448,1708570860004,6,2,0.3333333333333333,4
449,1708570866004,6,2,0.3333333333333333,4
450,1708570872004,6,2,0.3333333333333333,4
451,1708570878003,5.999,2,0.33338889814969164,2
452,1708570884003,6,2,0.3333333333333333,5
453,1708570890003,6,2,0.3333333333333333,2
454,1708570896004,6.001,2,0.33327778703549404,2
455,1708570902003,5.999,2,0.33338889814969164,4
456,1708570908004,6.001,2,0.33327778703549404,4
457,1708570914003,5.999,3,0.5000833472245374,6
458,1708570920004,6.001,3,0.4999166805532411,6
459,1708570926003,5.999,2,0.33338889814969164,2
460,1708570932003,6,2,0.3333333333333333,2
461,1708570938003,6,2,0.3333333333333333,2
462,1708570944004,6.001,2,0.33327778703549404,5
463,1708570950003,5.999,2,0.33338889814969164,4
464,1708570956004,6.001,3,0.4999166805532411,6
465,1708570962003,5.999,2,0.33338889814969164,4
466,1708570968003,6,2,0.3333333333333333,4
467,1708570974004,6.001,2,0.33327778703549404,2
468,1708570980003,5.999,2,0.33338889814969164,2
469,1708570986004,6.001,2,0.33327778703549404,2
470,1708570992004,6,2,0.3333333333333333,2
471,1708570998003,5.999,2,0.33338889814969164,4
472,1708571004004,6.001,2,0.33327778703549404,7
473,1708571010003,5.999,2,0.33338889814969164,4
474,1708571016004,6.001,2,0.33327778703549404,4
475,1708571022004,6,2,0.3333333333333333,2
476,1708571028003,5.999,2,0.33338889814969164,2
477,1708571034003,6,2,0.3333333333333333,2
478,1708571040003,6,2,0.3333333333333333,2
479,1708571046003,6,2,0.3333333333333333,4
480,1708571052003,6,2,0.3333333333333333,4
481,1708571058003,6,2,0.3333333333333333,4
482,1708571064004,6.001,2,0.33327778703549404,7
483,1708571070003,5.999,2,0.33338889814969164,2
484,1708571076003,6,2,0.3333333333333333,2
485,1708571082003,6,2,0.3333333333333333,2
486,1708571088006,6.003,2,0.33316674995835416,2
