block,timestamp,blocktime,transactions,tps
2,1674228954027,12.005,2,0.1665972511453561
3,1674228966027,12,2,0.16666666666666666
4,1674228978028,12.001,2,0.16665277893508876
5,1674229056030,78.002,2,0.025640368195687293
6,1674229068029,11.999,2,0.16668055671305942
7,1674229080027,11.998,2,0.16669444907484582
8,1674229092026,11.999,2,0.16668055671305942
9,1674229104026,12,2,0.16666666666666666
10,1674229116030,12.004,2,0.16661112962345886
11,1674229128028,11.998,2,0.16669444907484582
12,1674229140027,11.999,2,0.16668055671305942
13,1674229152025,11.998,12,1.0001666944490748
14,1674229164027,12.002,2,0.16663889351774702
15,1674229176029,12.002,2,0.16663889351774702
16,1674229188025,11.996,2,0.16672224074691563
17,1674229200027,12.002,2,0.16663889351774702
18,1674229212023,11.996,2,0.16672224074691563
19,1674229224025,12.002,2,0.16663889351774702
20,1674229422024,197.999,131,0.6616195031288037
21,1674229434024,12,578,48.166666666666664
22,1674229446024,12,599,49.916666666666664
23,1674229458026,12.002,536,44.6592234627562
24,1674229536032,78.006,1262,16.178242699279544
25,1674229548027,11.995,569,47.43643184660275
26,1674229560029,12.002,526,43.82602899516747
27,1674229572025,11.996,519,43.264421473824605
28,1674229584030,12.005,597,49.72927946688879
29,1674229596032,12.002,543,45.24245959006832
30,1674229608023,11.991,550,45.86773413393379
31,1674229620024,12.001,541,45.079576701941505
32,1674229632030,12.006,570,47.47626186906547
33,1674229644028,11.998,513,42.75712618769795
34,1674229716032,72.004,1065,14.790844953058162
35,1674229728024,11.992,583,48.615743829219475
36,1674229740025,12.001,545,45.41288225981168
37,1674229752024,11.999,549,45.75381281773481
38,1674229764023,11.999,580,48.33736144678723
39,1674230136027,372.004,123,0.3306416060042365
40,1674230148024,11.997,591,49.26231557889472
41,1674230160031,12.007,554,46.139751811443325
42,1674230178021,17.99,838,46.58143413007227
43,1674230196028,18.007,1257,69.80618648303437
44,1674230208030,12.002,546,45.49241793034494
45,1674230220031,12.001,582,48.495958670110824
46,1674230232024,11.993,536,44.6927374301676
47,1674230244025,12.001,576,47.99600033330556
48,1674230256032,12.007,514,42.80836178895645
49,1674230268021,11.989,586,48.87813829343565
50,1674230286024,18.003,823,45.71460312170194
51,1674230298027,12.003,2,0.16662501041406316
52,1674230382025,83.998,2,0.023810090716445628
53,1674230394026,12.001,2,0.16665277893508876
54,1674230406032,12.006,2,0.16658337497917708
