block,timestamp,blocktime,transactions,tps
2,1666285776022,24.006,2,0.08331250520703158
3,1666285806016,29.994,2,0.0666800026672001
4,1666285824013,17.997,2,0.11112963271656387
5,1666285848012,23.999,2,0.08333680570023752
6,1666285872012,24,4,0.16666666666666666
7,1666285896012,24,10,0.4166666666666667
8,1666285926016,30.004,2,0.06665777896280496
9,1666285944011,17.995,2,0.11114198388441233
10,1666285968013,24.002,2,0.08332638946754438
11,1666285992017,24.004,2,0.08331944675887351
12,1666286016011,23.994,12,0.5001250312578145
13,1666286046015,30.004,632,21.063858152246365
14,1666286064015,18,372,20.666666666666668
15,1666286088012,23.997,142,5.917406342459474
16,1666286112012,24,862,35.916666666666664
17,1666286142013,30.001,2,0.06666444451851605
18,1666286166016,24.003,2,0.08332291796858726
19,1666286184017,18.001,2,0.1111049386145214
20,1666286208015,23.998,2,0.08334027835652971
21,1666286232021,24.006,2,0.08331250520703158
22,1666286256012,23.991,2,0.08336459505647952
23,1666286286016,30.004,2,0.06665777896280496
24,1666286304011,17.995,2,0.11114198388441233
25,1666286328013,24.002,2,0.08332638946754438
26,1666286352012,23.999,2,0.08333680570023752
27,1666286376013,24.001,2,0.083329861255781
28,1666286406024,30.011,2,0.06664223118189998
29,1666286424012,17.988,2,0.111185234600845
30,1666286448012,24,2,0.08333333333333333
31,1666286472012,24,2,0.08333333333333333
32,1666286496015,24.003,2,0.08332291796858726
33,1666286526016,30.001,2,0.06666444451851605
34,1666286544013,17.997,2,0.11112963271656387
35,1666286568013,24,2,0.08333333333333333
36,1666286592014,24.001,2,0.083329861255781
37,1666286616012,23.998,2,0.08334027835652971
38,1666286646017,30.005,2,0.06665555740709882
39,1666286664013,17.996,2,0.11113580795732386
40,1666286688013,24,2,0.08333333333333333
41,1666286712014,24.001,2,0.083329861255781
42,1666286736012,23.998,2,0.08334027835652971
43,1666286766015,30.003,2,0.06666000066660001
44,1666286784014,17.999,2,0.11111728429357187
45,1666286808013,23.999,2,0.08333680570023752
46,1666286832013,24,2,0.08333333333333333
47,1666286856012,23.999,2,0.08333680570023752
48,1666286886015,30.003,2,0.06666000066660001
49,1666286904011,17.996,2,0.11113580795732386
50,1666286928013,24.002,2,0.08332638946754438
51,1666286952012,23.999,2,0.08333680570023752
52,1666286976014,24.002,2,0.08332638946754438
53,1666287006016,30.002,2,0.06666222251849876
54,1666287024012,17.996,2,0.11113580795732386
55,1666287048013,24.001,2,0.083329861255781
56,1666287072013,24,2,0.08333333333333333
57,1666287096013,24,3,0.125
58,1666287126020,30.007,2,0.06665111473989402
59,1666287144016,17.996,2,0.11113580795732386
60,1666287168012,23.996,2,0.08334722453742291
61,1666287192010,23.998,2,0.08334027835652971
62,1666287216013,24.003,2,0.08332291796858726
63,1666287246017,30.004,2,0.06665777896280496
64,1666287264013,17.996,2,0.11113580795732386
65,1666287288014,24.001,2,0.083329861255781
66,1666287318021,30.007,2,0.06665111473989402
67,1666287336011,17.99,2,0.11117287381878822
68,1666287384012,48.001,102,2.1249557300889568
69,1666287408045,24.033,2,0.08321890733574668
70,1666287432012,23.967,102,4.255851796219803
71,1666287456012,24,2,0.08333333333333333
72,1666287486014,30.002,2,0.06666222251849876
73,1666287504012,17.998,2,0.11112345816201799
74,1666287528011,23.999,2,0.08333680570023752
75,1666287552016,24.005,2,0.08331597583836702
76,1666287576012,23.996,2,0.08334722453742291
77,1666287624011,47.999,2,0.041667534740307086
78,1666287648012,24.001,92,3.8331736177659264
79,1666287672013,24.001,12,0.499979167534686
80,1666287696012,23.999,2,0.08333680570023752
81,1666287726018,30.006,2,0.06665333599946677
82,1666287744012,17.994,2,0.11114816049794377
83,1666287768012,24,2,0.08333333333333333
84,1666287792016,24.004,2,0.08331944675887351
85,1666287816011,23.995,2,0.08335069806209627
86,1666287846020,30.009,2,0.06664667266486721
87,1666287864013,17.993,2,0.11115433779803258
88,1666287888013,24,2,0.08333333333333333
89,1666287912015,24.002,2,0.08332638946754438
90,1666287936012,23.997,2,0.08334375130224611
91,1666287966016,30.004,2,0.06665777896280496
92,1666287984012,17.996,2,0.11113580795732386
93,1666288008012,24,2,0.08333333333333333
94,1666288032015,24.003,2,0.08332291796858726
95,1666288056014,23.999,2,0.08333680570023752
96,1666288086014,30,2,0.06666666666666667
97,1666288104011,17.997,2,0.11112963271656387
98,1666288128013,24.002,2,0.08332638946754438
99,1666288152013,24,2,0.08333333333333333
100,1666288176013,24,2,0.08333333333333333
101,1666288206018,30.005,2,0.06665555740709882
102,1666288224011,17.993,2,0.11115433779803258
103,1666288248012,24.001,2,0.083329861255781
104,1666288272014,24.002,2,0.08332638946754438
105,1666288296015,24.001,2,0.083329861255781
106,1666288326017,30.002,2,0.06666222251849876
107,1666288344014,17.997,2,0.11112963271656387
108,1666288368013,23.999,2,0.08333680570023752
109,1666288392012,23.999,2,0.08333680570023752
110,1666288422012,30,2,0.06666666666666667
111,1666288446015,24.003,2,0.08332291796858726
112,1666288464011,17.996,2,0.11113580795732386
