block,timestamp,blocktime,transactions,tps
51,1675645740025,36.001,2,0.055554012388544766
52,1675645776021,35.996,2,0.055561729081008995
53,1675645812025,36.004,2,0.055549383401844246
54,1675645890025,78,1107,14.192307692307692
55,1675645926024,35.999,1059,29.41748381899497
56,1675645962024,36,1088,30.22222222222222
57,1675645998024,36,1039,28.86111111111111
58,1675646034030,36.006,1037,28.800755429650614
59,1675646064025,29.995,1051,35.03917319553259
60,1675646100024,35.999,1031,28.639684435678767
61,1675646136025,36.001,796,22.110496930640817
62,1675646172024,35.999,2,0.055557098808300225
63,1675646214029,42.005,2,0.04761337935960004
64,1675646244023,29.994,2,0.0666800026672001
65,1675646280023,36,2,0.05555555555555555
66,1675646316024,36.001,2,0.055554012388544766
67,1675646352023,35.999,2,0.055557098808300225
68,1675646394032,42.009,2,0.04760884572353543
69,1675646424025,29.993,2,0.06668222585269896
70,1675646460022,35.997,2,0.055560185571019806
71,1675646496023,36.001,2,0.055554012388544766
72,1675646532025,36.002,2,0.0555524693072607
73,1675646574031,42.006,2,0.04761224586963767
