block,timestamp,blocktime,transactions,tps,events
138,1708450944026,11.997,2,0.16670834375260482,2
139,1708450956029,12.003,2,0.16662501041406316,2
140,1708450968035,12.006,2,0.16658337497917708,2
141,1708450980031,11.996,2,0.16672224074691563,2
142,1708450992031,12,2,0.16666666666666666,2
143,1708451004028,11.997,2,0.16670834375260482,2
144,1708451016027,11.999,2,0.16668055671305942,2
145,1708451028036,12.009,2,0.16654176034640686,2
146,1708451040030,11.994,2,0.16675004168751043,2
147,1708451052027,11.997,2,0.16670834375260482,2
148,1708451064029,12.002,2,0.16663889351774702,2
149,1708451076037,12.008,146,12.158560959360427,290
150,1708451088034,11.997,272,22.672334750354256,542
151,1708451100027,11.993,336,28.016342866672225,670
152,1708451112026,11.999,548,45.67047253937828,1094
153,1708451124026,12,499,41.583333333333336,996
154,1708451136028,12.002,471,39.24345942342943,940
155,1708451154029,18.001,540,29.99833342592078,1078
156,1708451166028,11.999,433,36.08634052837736,864
157,1708451184025,17.997,728,40.45118630882925,1454
158,1708451208036,24.011,790,32.90158677272917,1578
159,1708451226030,17.994,686,38.12381905079471,1370
160,1708451244031,18.001,902,50.108327315149154,1802
161,1708451268034,24.003,1071,44.61942257217848,2140
162,1708451286032,17.998,662,36.781864651627956,1322
163,1708451304027,17.995,737,40.95582106140594,1472
164,1708451328033,24.006,377,15.704407231525451,752
165,1708451340029,11.996,230,19.173057685895298,458
166,1708451352035,12.006,2,0.16658337497917708,2
167,1708451364030,11.995,608,50.68778657774073,1214
168,1708451388045,24.015,2,0.08328128253175099,2
169,1708451400032,11.987,2,0.1668474180362059,2
170,1708451412029,11.997,2,0.16670834375260482,2
171,1708451424029,12,2,0.16666666666666666,2
172,1708451436029,12,2,0.16666666666666666,2
173,1708451448038,12.009,2,0.16654176034640686,2
174,1708451460033,11.995,2,0.16673614005835766,90
175,1708451472027,11.994,2,0.16675004168751043,90
176,1708451484034,12.007,2,0.16656950112434413,90
177,1708451496028,11.994,2,0.16675004168751043,90
178,1708451508034,12.006,2,0.16658337497917708,90
179,1708451520032,11.998,2,0.16669444907484582,90
180,1708451532028,11.996,2,0.16672224074691563,90
181,1708451544028,12,2,0.16666666666666666,90
182,1708451556029,12.001,2,0.16665277893508876,90
183,1708451568037,12.008,2,0.16655562958027983,2
184,1708451580029,11.992,2,0.1667778519012675,90
185,1708451592032,12.003,2,0.16662501041406316,2
186,1708451604031,11.999,2,0.16668055671305942,90
187,1708451616031,12,2,0.16666666666666666,90
188,1708451628034,12.003,2,0.16662501041406316,90
189,1708451640030,11.996,2,0.16672224074691563,90
190,1708451652031,12.001,2,0.16665277893508876,2
191,1708451664032,12.001,2,0.16665277893508876,90
192,1708451676028,11.996,2,0.16672224074691563,90
193,1708451688038,12.01,2,0.16652789342214822,90
194,1708451700031,11.993,2,0.16676394563495373,90
195,1708451712028,11.997,2,0.16670834375260482,2
196,1708451724030,12.002,2,0.16663889351774702,90
197,1708451736028,11.998,2,0.16669444907484582,90
198,1708451748041,12.013,2,0.16648630650129026,90
199,1708451760028,11.987,2,0.1668474180362059,90
200,1708451772028,12,2,0.16666666666666666,90
201,1708451784032,12.004,2,0.16661112962345886,90
202,1708451796032,12,2,0.16666666666666666,90
203,1708451808032,12,2,0.16666666666666666,90
204,1708451820034,12.002,2,0.16663889351774702,90
205,1708451832028,11.994,2,0.16675004168751043,90
206,1708451844029,12.001,2,0.16665277893508876,90
207,1708451856034,12.005,2,0.1665972511453561,90
208,1708451868038,12.004,2,0.16661112962345886,90
209,1708451880030,11.992,2,0.1667778519012675,90
210,1708451892030,12,2,0.16666666666666666,90
211,1708451904030,12,2,0.16666666666666666,90
212,1708451916029,11.999,2,0.16668055671305942,90
213,1708451928036,12.007,2,0.16656950112434413,90
214,1708451940030,11.994,2,0.16675004168751043,90
215,1708451952029,11.999,2,0.16668055671305942,90
216,1708451964027,11.998,2,0.16669444907484582,90
217,1708451976028,12.001,2,0.16665277893508876,90
218,1708451988035,12.007,2,0.16656950112434413,90
219,1708452000031,11.996,2,0.16672224074691563,90
